Species,latitude,longitude
Asclepias speciosa,40.08227,-102.20272
Asclepias speciosa,37.54158,-105.85808
Asclepias speciosa,37.3798,-97.7762
Asclepias speciosa,39.76883,-101.82936
Asclepias speciosa,37.01763,-98.71147
Asclepias speciosa,40.0853,-102.12496
Asclepias speciosa,41.2833,-99.9167
Asclepias speciosa,50.41783,-121.36899
Asclepias speciosa,38.69721,-119.83672
Asclepias speciosa,47.03333,-102.91667
Asclepias speciosa,41.2034,-120.0385
Asclepias speciosa,41.18972,-120.05056
Asclepias speciosa,41.43556,-121.03667
Asclepias speciosa,41.43556,-121.03667
Asclepias speciosa,49.20667,-121.79167
Asclepias speciosa,50.23333,-121.56667
Asclepias speciosa,50.71667,-120.51667
Asclepias speciosa,49,-119
Asclepias speciosa,50.25,-119.26667
Asclepias speciosa,50,-120
Asclepias speciosa,50.25,-119.26667
Asclepias speciosa,50.33333,-115.85
Asclepias speciosa,50.33333,-115.85
Asclepias speciosa,50.36667,-121.56667
Asclepias speciosa,49,-119
Asclepias speciosa,50,-119
Asclepias speciosa,49.18333,-119.55
Asclepias speciosa,50.21667,-119.2
Asclepias speciosa,49,-119
Asclepias speciosa,49,-119
Asclepias speciosa,49,-119
Asclepias speciosa,49,-119
Asclepias speciosa,50.41667,-121.35
Asclepias speciosa,50.41667,-121.35
Asclepias speciosa,50,-120
Asclepias speciosa,49,-119
Asclepias speciosa,50.66667,-120.33333
Asclepias speciosa,50.25,-119.25
Asclepias speciosa,49.28333,-122.75
Asclepias speciosa,49.2,-119.83333
Asclepias speciosa,49.18333,-119.76667
Asclepias speciosa,50.5,-120
Asclepias speciosa,51.58333,-122.23333
Asclepias speciosa,49,-119
Asclepias speciosa,49,-119
Asclepias speciosa,49.46667,-115.45
Asclepias speciosa,46.80574,-119.92218
Asclepias speciosa,46.89746,-119.19958
Asclepias speciosa,47.07359,-119.3371
Asclepias speciosa,42.98972,-116.0925
Asclepias speciosa,42.77915,-115.79639
Asclepias speciosa,46.63333,-120.51667
Asclepias speciosa,47.56194,-119.45056
Asclepias speciosa,46.48245,-120.51294
Asclepias speciosa,46.73111,-120.69833
Asclepias speciosa,44.22496,-114.92808
Asclepias speciosa,47.01714,-120.57669
Asclepias speciosa,47.65889,-117.425
Asclepias speciosa,47.65889,-117.425
Asclepias speciosa,47.65889,-117.425
Asclepias speciosa,43.05361,-116.39417
Asclepias speciosa,47.13889,-120.55917
Asclepias speciosa,47.60472,-119.34639
Asclepias speciosa,47.56194,-119.45056
Asclepias speciosa,46.48245,-120.51294
Asclepias speciosa,46.98333,-120.41583
Asclepias speciosa,46.37722,-120.55932
Asclepias speciosa,46.41423,-120.39113
Asclepias speciosa,47.42361,-120.30917
Asclepias speciosa,46.73111,-120.69833
Asclepias speciosa,46.74994,-120.80943
Asclepias speciosa,46.006,-118.38722
Asclepias speciosa,47.4275,-117.37917
Asclepias speciosa,48.54667,-117.90444
Asclepias speciosa,45.72088,-121.64061
Asclepias speciosa,48.12974,-120.00157
Asclepias speciosa,46.99667,-120.54667
Asclepias speciosa,47.60472,-119.34639
Asclepias speciosa,47.88203,-119.95429
Asclepias speciosa,45.96861,-119.05222
Asclepias speciosa,48.28888,-99.43722
Asclepias speciosa,37.55,-119.90111
Asclepias speciosa,38.83388,-104.82083
Asclepias speciosa,37.85,-119.56777
Asclepias speciosa,44.9425,-95.72333
Asclepias speciosa,30.703,-110.806
Asclepias speciosa,40.78607,-98.50453
Asclepias speciosa,40.2411,-99.63345
Asclepias speciosa,46.49964359,-97.77273545
Asclepias speciosa,42.20736,-100.45456
Asclepias speciosa,41.6696,-99.9325
Asclepias speciosa,43.00583,-101.12668
Asclepias speciosa,48.625,-102.65417
Asclepias speciosa,41.41526,-100.19347
Asclepias speciosa,46.99949,-104.18827
Asclepias speciosa,44.62695,-98.98806
Asclepias speciosa,36.61621,-100.31444
Asclepias speciosa,48.58995,-109.12116
Asclepias speciosa,40.10283,-99.51046
Asclepias speciosa,38.08717,-102.73081
Asclepias speciosa,44.52895299,-105.8245157
Asclepias speciosa,45.58411,-97.33638
Asclepias speciosa,41.0230086,-109.3363236
Asclepias speciosa,43.74348,-100.71291
